GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
CO2 emissions from biomass,2338.751004646781,,,,,Summary1.As3,BELGIUM,1990,Sector,
International bunkers,15955.498654734462,0.10506450612395,0.41998802449576,,,Summary1.As3,BELGIUM,1991,Sector,
CO2 emissions from biomass,2450.1124447408665,,,,,Summary1.As3,BELGIUM,1991,Sector,
International bunkers,15813.600787877644,0.10416306775104,0.41650227100418,,,Summary1.As3,BELGIUM,1992,Sector,
CO2 emissions from biomass,2587.874998667921,,,,,Summary1.As3,BELGIUM,1992,Sector,
International bunkers,16352.922181020824,0.10769162937815,0.43034651751261,,,Summary1.As3,BELGIUM,1993,Sector,
CO2 emissions from biomass,2233.4298356710665,,,,,Summary1.As3,BELGIUM,1993,Sector,
International bunkers,16769.993094614332,0.110486480459,0.44152592183601,,,Summary1.As3,BELGIUM,1994,Sector,
CO2 emissions from biomass,2457.1662545768963,,,,,Summary1.As3,BELGIUM,1994,Sector,
International bunkers,15875.22075442159,0.10503638408151,0.41909553632607,,,Summary1.As3,BELGIUM,1995,Sector,
CO2 emissions from biomass,2712.472409199736,,,,,Summary1.As3,BELGIUM,1995,Sector,
International bunkers,19242.97259712016,0.12748281656861,0.50762126627442,,,Summary1.As3,BELGIUM,1996,Sector,
CO2 emissions from biomass,2968.9251663176487,,,,,Summary1.As3,BELGIUM,1996,Sector,
International bunkers,21327.792128529138,0.14104875008113,0.56221500032449,,,Summary1.As3,BELGIUM,1997,Sector,
CO2 emissions from biomass,2828.8510229205444,,,,,Summary1.As3,BELGIUM,1997,Sector,
International bunkers,22637.22040563648,0.14942745444554,0.5973298177821,,,Summary1.As3,BELGIUM,1998,Sector,
CO2 emissions from biomass,2915.832736378516,,,,,Summary1.As3,BELGIUM,1998,Sector,
International bunkers,19573.7683471188,0.13080281307466,0.51840125229869,,,Summary1.As3,BELGIUM,1999,Sector,
CO2 emissions from biomass,3011.5424955382773,,,,,Summary1.As3,BELGIUM,1999,Sector,
International bunkers,20891.150397410554,0.13933322384478,0.55327289537916,,,Summary1.As3,BELGIUM,2000,Sector,
CO2 emissions from biomass,3000.471472892955,,,,,Summary1.As3,BELGIUM,2000,Sector,
International bunkers,20555.329216771377,0.13655581575646,0.54396326302585,,,Summary1.As3,BELGIUM,2001,Sector,
CO2 emissions from biomass,3328.72132557894,,,,,Summary1.As3,BELGIUM,2001,Sector,
International bunkers,26407.43103395036,0.17379124721872,0.69459498887489,,,Summary1.As3,BELGIUM,2002,Sector,
CO2 emissions from biomass,3642.850631002037,,,,,Summary1.As3,BELGIUM,2002,Sector,
International bunkers,27057.671429824182,0.17706160196937,0.71227640787747,,,Summary1.As3,BELGIUM,2003,Sector,
CO2 emissions from biomass,4347.391499918704,,,,,Summary1.As3,BELGIUM,2003,Sector,
International bunkers,28251.30282823651,0.18474028373981,0.74231113495927,,,Summary1.As3,BELGIUM,2004,Sector,
CO2 emissions from biomass,5004.9183953041365,,,,,Summary1.As3,BELGIUM,2004,Sector,
