GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
F.  Product uses as substitutes for ODS,,,,293.0023069245742,,,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0860134323488,,0.115416,,,0.00198199777251,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
H.  Other(3),20.85045168347242,,,,,,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),42429.45527333451,,,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
                                           Sectoral approach(2),42629.53674591322,10.20334568828569,1.36712905073841,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
1.  Energy industries,16314.635502591364,0.43463124299511,0.31653022601345,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5031.262979185385,0.33241078959564,0.0522306929013,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
3.  Transport,11279.119303171992,1.52415060842982,0.62353453339511,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
4.  Other sectors,10004.51896096448,7.91215304726512,0.37483359842855,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,0.04412817036481,2.96354814643375,,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
1.  Solid fuels,,1.0169997,,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.04412817036481,1.94654844643375,,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
A.  Mineral industry,2063.379122942601,,,,,,Summary1.As1,IRELAND,2002,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,86.80511516352342,,,,,,Summary1.As1,IRELAND,2002,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,1.9964,243.18657,0.001196,Summary1.As1,IRELAND,2002,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,377.0154862454732,,,Summary1.As1,IRELAND,2002,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0887543074088,,0.117516,,,0.00163581372335,Summary1.As1,IRELAND,2002,Subsector,2.  Industrial processes and product use
H.  Other(3),27.86955346102155,,,,,,Summary1.As1,IRELAND,2002,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),41878.98710683993,,,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
                                           Sectoral approach(2),42603.07041785693,9.72579301394602,1.38615868197261,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
1.  Energy industries,15610.986166926536,0.40780545846005,0.35072869459042,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5152.93404122145,0.34434243386159,0.05394578099548,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
3.  Transport,11489.059056786817,1.44047693927032,0.60318705010929,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
4.  Other sectors,10350.091152922128,7.53316818235406,0.37829715627742,,,,Summary1.As1,IRELAND,2003,Subsector,1. Energy
