GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
5.  Waste,0.48097866666667,168.7762748980976,1.03608336016615,,,,Summary1.As2,GREECE,2002,Sector
3.  Agriculture,35.19161904761905,202.01427589794423,14.41984835519003,,,,Summary1.As2,GREECE,2003,Sector
"4.  Land use, land-use change and forestry  (4)",-2728.979168539283,0.21387168174882,0.0431412439186,,,,Summary1.As2,GREECE,2003,Sector
5.  Waste,0.85467066666667,173.3130416850704,1.07464375265289,,,,Summary1.As2,GREECE,2003,Sector
3.  Agriculture,36.33142857142858,200.90282565952177,14.63954167430627,,,,Summary1.As2,GREECE,2004,Sector
"4.  Land use, land-use change and forestry  (4)",-2721.770532314269,0.54126559470066,0.04855076208409,,,,Summary1.As2,GREECE,2004,Sector
5.  Waste,1.04778666666667,173.58769043443485,1.07390919777909,,,,Summary1.As2,GREECE,2004,Sector
3.  Agriculture,31.91466666666667,200.43191580566872,13.93701301750529,,,,Summary1.As2,GREECE,2005,Sector
"4.  Land use, land-use change and forestry  (4)",-3553.421805416396,0.42148932220073,0.04952442444654,,,,Summary1.As2,GREECE,2005,Sector
5.  Waste,1.97534984533333,177.65576735229456,1.05692523268345,,,,Summary1.As2,GREECE,2005,Sector
3.  Agriculture,29.92,200.81443759730368,13.55460747054065,,,,Summary1.As2,GREECE,2006,Sector
"4.  Land use, land-use change and forestry  (4)",-3628.4879051294542,0.83849083098332,0.05515641234367,,,,Summary1.As2,GREECE,2006,Sector
5.  Waste,2.407890672,184.30956669152627,1.07051903412276,,,,Summary1.As2,GREECE,2006,Sector
3.  Agriculture,33.62438095238095,200.7761833298,14.01357357897604,,,,Summary1.As2,GREECE,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-2673.539536510038,12.85074157487357,0.1413043293791,,,,Summary1.As2,GREECE,2007,Sector
5.  Waste,3.17484598933333,176.97005168448788,1.09120568375532,,,,Summary1.As2,GREECE,2007,Sector
3.  Agriculture,28.63771428571428,197.33065248494205,13.35137420958289,,,,Summary1.As2,GREECE,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-3386.61255076133,1.74200707987517,0.06753129080515,,,,Summary1.As2,GREECE,2008,Sector
5.  Waste,3.68351743466667,177.80671699388105,1.06669917125549,,,,Summary1.As2,GREECE,2008,Sector
3.  Agriculture,24.93333333333333,196.08721813748463,12.70321903366996,,,,Summary1.As2,GREECE,2009,Sector
"4.  Land use, land-use change and forestry  (4)",-3494.833969737211,1.84643566918737,0.06981339551734,,,,Summary1.As2,GREECE,2009,Sector
5.  Waste,12.43385068762122,166.3036608335368,1.06642050964502,,,,Summary1.As2,GREECE,2009,Sector
3.  Agriculture,30.34742857142857,200.0889506610931,13.45606346023349,,,,Summary1.As2,GREECE,2010,Sector
"4.  Land use, land-use change and forestry  (4)",-3426.1903639648463,0.65657370820925,0.05872144091113,,,,Summary1.As2,GREECE,2010,Sector
5.  Waste,6.35565247297705,177.6174054795802,1.08161601938744,,,,Summary1.As2,GREECE,2010,Sector
3.  Agriculture,25.8443260952381,198.6480707475631,12.74463974075898,,,,Summary1.As2,GREECE,2011,Sector
"4.  Land use, land-use change and forestry  (4)",-3533.763684886743,0.71243999657005,0.05682297476841,,,,Summary1.As2,GREECE,2011,Sector
5.  Waste,5.61369691815854,168.71697327857453,1.05256584620671,,,,Summary1.As2,GREECE,2011,Sector
3.  Agriculture,24.99673523809524,196.20527701948257,12.53106815685539,,,,Summary1.As2,GREECE,2012,Sector
"4.  Land use, land-use change and forestry  (4)",-3608.10607499948,1.74823542965943,0.06495409879516,,,,Summary1.As2,GREECE,2012,Sector
5.  Waste,3.47614860260733,159.80071172264687,1.04426864500443,,,,Summary1.As2,GREECE,2012,Sector
3.  Agriculture,26.00674895238095,192.6701635301694,12.58067877239548,,,,Summary1.As2,GREECE,2013,Sector
"4.  Land use, land-use change and forestry  (4)",-2054.866424250094,0.64015779516168,0.05555065042395,,,,Summary1.As2,GREECE,2013,Sector
5.  Waste,3.82836967253679,163.7959933150363,1.03974275148672,,,,Summary1.As2,GREECE,2013,Sector
3.  Agriculture,23.642784,186.1434867350099,11.74143253103054,,,,Summary1.As2,GREECE,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-631.8097829490957,0.37588577782,0.05243331992225,,,,Summary1.As2,GREECE,2014,Sector
5.  Waste,4.48059227235173,166.2849355931438,1.03002655818981,,,,Summary1.As2,GREECE,2014,Sector
3.  Agriculture,23.41368228571428,182.16116969688517,11.47937724919109,,,,Summary1.As2,GREECE,2015,Sector
"4.  Land use, land-use change and forestry  (4)",-4278.880433319449,0.43235552641751,0.05207660833597,,,,Summary1.As2,GREECE,2015,Sector
5.  Waste,5.48143185333333,165.62659503590422,1.01851246403051,,,,Summary1.As2,GREECE,2015,Sector
3.  Agriculture,26.36080228571428,178.90350698818992,11.78011612845401,,,,Summary1.As2,GREECE,2016,Sector
"4.  Land use, land-use change and forestry  (4)",-4122.447945111746,1.26678989452235,0.05692434999038,,,,Summary1.As2,GREECE,2016,Sector
5.  Waste,4.65895276,168.04153886501095,1.02411886829617,,,,Summary1.As2,GREECE,2016,Sector
3.  Agriculture,34.140392,178.19409213735085,11.94629894404276,,,,Summary1.As2,GREECE,2017,Sector
"4.  Land use, land-use change and forestry  (4)",-4145.085019681206,0.74213335223621,0.05277405855159,,,,Summary1.As2,GREECE,2017,Sector
5.  Waste,4.26143197333333,175.1237954574673,1.03593754182737,,,,Summary1.As2,GREECE,2017,Sector
3.  Agriculture,32.90955864220142,179.39958039853326,11.56581437864931,,,,Summary1.As2,GREECE,2018,Sector
"4.  Land use, land-use change and forestry  (4)",-4981.098074004031,0.77675475315757,0.05373509998986,,,,Summary1.As2,GREECE,2018,Sector
5.  Waste,3.78435826266667,180.84997927023517,1.05311652560285,,,,Summary1.As2,GREECE,2018,Sector
3.  Agriculture,34.80083669520293,177.27811482374068,11.70543895407866,,,,Summary1.As2,GREECE,2019,Sector
"4.  Land use, land-use change and forestry  (4)",-5505.975467312703,3.10704097757692,0.06995132491893,,,,Summary1.As2,GREECE,2019,Sector
5.  Waste,3.36031983466658,182.07458525328408,1.05236589469049,,,,Summary1.As2,GREECE,2019,Sector
3.  Agriculture,37.22123976594199,176.53686000693853,11.97583769527372,,,,Summary1.As2,GREECE,2020,Sector
"4.  Land use, land-use change and forestry  (4)",-5450.985147126343,0.74851221326142,0.0533205454596,,,,Summary1.As2,GREECE,2020,Sector
5.  Waste,3.05789104954659,186.1686039216916,1.02711676414724,,,,Summary1.As2,GREECE,2020,Sector
3.  Agriculture,33.49911578934778,176.66106597453697,11.56973183827957,,,,Summary1.As2,GREECE,2021,Sector
