GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B. Fugitive emissions from fuels,0.04496013260658,1.34586466737837,,,,Summary1.As1,LUXEMBOURG,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.04496013260658,1.34586466737837,,,,Summary1.As1,LUXEMBOURG,2001,Subsector,1. Energy
A.  Mineral industry,488.9616963131911,,,,,Summary1.As1,LUXEMBOURG,2001,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,16.23131145428707,,,,,Summary1.As1,LUXEMBOURG,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,34.86432432891961,,Summary1.As1,LUXEMBOURG,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.01947830679359,,0.00011297943749,Summary1.As1,LUXEMBOURG,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),9232.06744810337,,,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
                                           Sectoral approach(2),9296.020447899196,0.75470085261717,0.17754037493709,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
1.  Energy industries,1025.3118624259312,0.06424605865004,0.00800683062948,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1305.5923637184185,0.06439345029403,0.04978353096194,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
3.  Transport,5322.5450813762645,0.21589520711478,0.09959755190126,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
4.  Other sectors,1629.017676341609,0.40913262261747,0.02008345488583,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
5.  Other,13.55346403697126,0.00103351394085,6.900655858e-05,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,0.06442673642907,1.9277924791922,,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.06442673642907,1.9277924791922,,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
A.  Mineral industry,503.35402256331867,,,,,Summary1.As1,LUXEMBOURG,2002,Subsector,1. Energy
